"ADV-Text1","Erreger","NRL"
"Salmonella II 1,4,12,27:g,[m]t:[1,5]","Salmonella II","NRL-Salm"
"Salmonella II 1,4,12,27:g[m][s]t:enx","Salmonella II","NRL-Salm"
"Salmonella II 1,4,12,27:k:1,6","Salmonella II","NRL-Salm"
"Salmonella II 1,4,12,27:l,v:e,n,x","Salmonella II","NRL-Salm"
"Salmonella II 1,4,12,27:lv:z39","Salmonella II","NRL-Salm"
"Salmonella II 1,4,12,27:z:1,5","Salmonella II","NRL-Salm"
"Salmonella II 1,4,12,27:z:e,n,x","Salmonella II","NRL-Salm"
"Salmonella II 1,4,12,27:z39:1,7","Salmonella II","NRL-Salm"
"Salmonella II 1,4,12:z29:e,n,x","Salmonella II","NRL-Salm"
"Salmonella II 1,4,5,12,27:a:e,n,x","Salmonella II","NRL-Salm"
"Salmonella II 1,40:f,g,t:e,n,x,z15","Salmonella II","NRL-Salm"
"Salmonella II 1,40:f,g:e,n,x,z15","Salmonella II","NRL-Salm"
"Salmonella II 1,40:[z42]:1,5,7","Salmonella II","NRL-Salm"
"Salmonella II 1,40:a:z6","Salmonella II","NRL-Salm"
"Salmonella II 1,40:c:e,n,x,z15","Salmonella II","NRL-Salm"
"Salmonella II 1,40:c:z39","Salmonella II","NRL-Salm"
"Salmonella II 1,40:e,n,x,z15:1,6","Salmonella II","NRL-Salm"
"Salmonella II 1,40:e,n,x:1,[5],7","Salmonella II","NRL-Salm"
"Salmonella II 1,40:g,m,s,t:1,5","Salmonella II","NRL-Salm"
"Salmonella II 1,40:g,m,s,t:z42","Salmonella II","NRL-Salm"
"Salmonella II 1,40:g,m,t:-","Salmonella II","NRL-Salm"
"Salmonella II 1,40:g,m,t:1,5","Salmonella II","NRL-Salm"
"Salmonella II 1,40:g,t:1,5","Salmonella II","NRL-Salm"
"Salmonella II 1,40:g,t:e,n,x","Salmonella II","NRL-Salm"
"Salmonella II 1,40:g,t:z42","Salmonella II","NRL-Salm"
"Salmonella II 1,40:k:e,n,x,z15","Salmonella II","NRL-Salm"
"Salmonella II 1,40:l,z28:1,5:z42","Salmonella II","NRL-Salm"
"Salmonella II 1,40:l,z28:z39","Salmonella II","NRL-Salm"
"Salmonella II 1,40:m,t:z39","Salmonella II","NRL-Salm"
"Salmonella II 1,40:m,t:z42","Salmonella II","NRL-Salm"
"Salmonella II 1,40:z:1,5","Salmonella II","NRL-Salm"
"Salmonella II 1,40:z:z39","Salmonella II","NRL-Salm"
"Salmonella II 1,40:z:z6","Salmonella II","NRL-Salm"
"Salmonella II 1,40:z35:e,n,x,z15","Salmonella II","NRL-Salm"
"Salmonella II 1,40:z39:1,5:z42","Salmonella II","NRL-Salm"
"Salmonella II 1,40:z39:1,6","Salmonella II","NRL-Salm"
"Salmonella II 1,40:z42:1,6","Salmonella II","NRL-Salm"
"Salmonella II 1,40:z6:1,5","Salmonella II","NRL-Salm"
"Salmonella II 1,42:l,w:e,n,x","Salmonella II","NRL-Salm"
"Salmonella II 1,42:l,z28:-","Salmonella II","NRL-Salm"
"Salmonella II 1,44:e,n,x:1,6","Salmonella II","NRL-Salm"
"Salmonella II 1,44:z39:-","Salmonella II","NRL-Salm"
"Salmonella II 1,44:z39:e,n,x,z15","Salmonella II","NRL-Salm"
"Salmonella II 1,53:d:z39","Salmonella II","NRL-Salm"
"Salmonella II 1,59:z:z6","Salmonella II","NRL-Salm"
"Salmonella II 1,6,14:k:z6:z42","Salmonella II","NRL-Salm"
"Salmonella II 1,6,14:m,t:1,5","Salmonella II","NRL-Salm"
"Salmonella II 1,6,14:z10:1,5","Salmonella II","NRL-Salm"
"Salmonella II 1,6,14:z10:z6:z42","Salmonella II","NRL-Salm"
"Salmonella II 1,6,14:z42:1,6","Salmonella II","NRL-Salm"
"Salmonella II 1,9,12,46,27:a:z6","Salmonella II","NRL-Salm"
"Salmonella II 1,9,12,46,27:c:z39","Salmonella II","NRL-Salm"
"Salmonella II 1,9,12,46,27:l,z13,z28","Salmonella II","NRL-Salm"
"Salmonella II 1,9,12,46,27:y:z39","Salmonella II","NRL-Salm"
"Salmonella II 1,9,12,46,27:z10:1,5","Salmonella II","NRL-Salm"
"Salmonella II 1,9,12,46,27:z10:e,n,x","Salmonella II","NRL-Salm"
"Salmonella II 1,9,12,46,27:z10:z39","Salmonella II","NRL-Salm"
"Salmonella II 1,9,12,46,27:z4,z24:1,","Salmonella II","NRL-Salm"
"Salmonella II 1,9,12:a:e,n,x","Salmonella II","NRL-Salm"
"Salmonella II 1,9,12:a:z42","Salmonella II","NRL-Salm"
"Salmonella II 1,9,12:b:e,n,x","Salmonella II","NRL-Salm"
"Salmonella II 1,9,12:b:z39","Salmonella II","NRL-Salm"
"Salmonella II 1,9,12:b:z6","Salmonella II","NRL-Salm"
"Salmonella II 1,9,12:g,m,s,t:e,n,x","Salmonella II","NRL-Salm"
"Salmonella II 1,9,12:g,z62:-","Salmonella II","NRL-Salm"
"Salmonella II 1,9,12:g,z62:e,n,x","Salmonella II","NRL-Salm"
"Salmonella II 1,9,12:gm[s]t:[1,5,7]:","Salmonella II","NRL-Salm"
"Salmonella II 1,9,12:l,w:e,n,x","Salmonella II","NRL-Salm"
"Salmonella II 1,9,12:m,t:1,5","Salmonella II","NRL-Salm"
"Salmonella II 1,9,12:m,t:z39","Salmonella II","NRL-Salm"
"Salmonella II 1,9,12:y:z39","Salmonella II","NRL-Salm"
"Salmonella II 1,9,12:z:1,7","Salmonella II","NRL-Salm"
"Salmonella II 1,9,12:z:z6","Salmonella II","NRL-Salm"
"Salmonella II 1,9,12:z29:e,n,x","Salmonella II","NRL-Salm"
"Salmonella II 1,9,12:z39:1,7","Salmonella II","NRL-Salm"
"Salmonella II 11:-:1,5","Salmonella II","NRL-Salm"
"Salmonella II 11:a:d:e,n,z15","Salmonella II","NRL-Salm"
"Salmonella II 11:a:z6:z42","Salmonella II","NRL-Salm"
"Salmonella II 11:c:e,n,z15","Salmonella II","NRL-Salm"
"Salmonella II 11:g,m,s,t:z39","Salmonella II","NRL-Salm"
"Salmonella II 11:g,m,s,t:z6","Salmonella II","NRL-Salm"
"Salmonella II 11:g,s,t:z39","Salmonella II","NRL-Salm"
"Salmonella II 11:l,z28:e,n,x","Salmonella II","NRL-Salm"
"Salmonella II 11:m,t:e,n,x","Salmonella II","NRL-Salm"
"Salmonella II 11:z:e,n,x","Salmonella II","NRL-Salm"
"Salmonella II 11:z:z39","Salmonella II","NRL-Salm"
"Salmonella II 13,22:f,g,t:-","Salmonella II","NRL-Salm"
"Salmonella II 13,22:a:e,n,x","Salmonella II","NRL-Salm"
"Salmonella II 13,22:k:1,5:z42","Salmonella II","NRL-Salm"
"Salmonella II 13,22:l,z28:1,5","Salmonella II","NRL-Salm"
"Salmonella II 13,22:m,t:z42:z39","Salmonella II","NRL-Salm"
"Salmonella II 13,22:z:-","Salmonella II","NRL-Salm"
"Salmonella II 13,22:z29:1,5","Salmonella II","NRL-Salm"
"Salmonella II 13,22:z29:e,n,x","Salmonella II","NRL-Salm"
"Salmonella II 13,22:z39:1,7","Salmonella II","NRL-Salm"
"Salmonella II 13,23:-:1,6","Salmonella II","NRL-Salm"
"Salmonella II 13,23:d:e,n,x","Salmonella II","NRL-Salm"
"Salmonella II 13,23:k:z41","Salmonella II","NRL-Salm"
"Salmonella II 13,23:l,w:e,n,x","Salmonella II","NRL-Salm"
"Salmonella II 13,23:l,z28:1,5","Salmonella II","NRL-Salm"
"Salmonella II 13,23:l,z28:z6","Salmonella II","NRL-Salm"
"Salmonella II 16:b:e,n,x","Salmonella II","NRL-Salm"
"Salmonella II 16:b:z39","Salmonella II","NRL-Salm"
"Salmonella II 16:b:z42","Salmonella II","NRL-Salm"
"Salmonella II 16:d:1,5","Salmonella II","NRL-Salm"
"Salmonella II 16:e,n,x:1,5,7","Salmonella II","NRL-Salm"
"Salmonella II 16:e,n,x:1,6:z42","Salmonella II","NRL-Salm"
"Salmonella II 16:g,[m],[s],t:[e,n,x]","Salmonella II","NRL-Salm"
"Salmonella II 16:g,m,s,t:z42","Salmonella II","NRL-Salm"
"Salmonella II 16:g,m,t:-","Salmonella II","NRL-Salm"
"Salmonella II 16:g,t:[1,5]","Salmonella II","NRL-Salm"
"Salmonella II 16:g,t:z42","Salmonella II","NRL-Salm"
"Salmonella II 16:l,w:z6","Salmonella II","NRL-Salm"
"Salmonella II 16:l,z28:z42","Salmonella II","NRL-Salm"
"Salmonella II 16:m,t:[z42]","Salmonella II","NRL-Salm"
"Salmonella II 16:m,t:e,n,x","Salmonella II","NRL-Salm"
"Salmonella II 16:z:e,n,x","Salmonella II","NRL-Salm"
"Salmonella II 16:z:z42","Salmonella II","NRL-Salm"
"Salmonella II 16:z29:1,5","Salmonella II","NRL-Salm"
"Salmonella II 16:z29:e,n,x","Salmonella II","NRL-Salm"
"Salmonella II 16:z35:e,n,x","Salmonella II","NRL-Salm"
"Salmonella II 16:z4,z23:-","Salmonella II","NRL-Salm"
"Salmonella II 16:z4,z24:-","Salmonella II","NRL-Salm"
"Salmonella II 16:z42:1,[5],7","Salmonella II","NRL-Salm"
"Salmonella II 16:z42:1,6","Salmonella II","NRL-Salm"
"Salmonella II 16:z6:1,6","Salmonella II","NRL-Salm"
"Salmonella II 17:f,g,t:[e,n,x,z15]","Salmonella II","NRL-Salm"
"Salmonella II 17:-:l,w","Salmonella II","NRL-Salm"
"Salmonella II 17:b:e,n,x,z15","Salmonella II","NRL-Salm"
"Salmonella II 17:b:z6","Salmonella II","NRL-Salm"
"Salmonella II 17:c:z39","Salmonella II","NRL-Salm"
"Salmonella II 17:e,n,x,z15:1,5,7","Salmonella II","NRL-Salm"
"Salmonella II 17:e,n,x,z15:1,6","Salmonella II","NRL-Salm"
"Salmonella II 17:e,n,x,z15:1,7","Salmonella II","NRL-Salm"
"Salmonella II 17:g,m,s,t:-","Salmonella II","NRL-Salm"
"Salmonella II 17:g,t:z39","Salmonella II","NRL-Salm"
"Salmonella II 17:k:-","Salmonella II","NRL-Salm"
"Salmonella II 17:m,t:-","Salmonella II","NRL-Salm"
"Salmonella II 17:y:-","Salmonella II","NRL-Salm"
"Salmonella II 17:z:1,7","Salmonella II","NRL-Salm"
"Salmonella II 17:z:l,w:z42","Salmonella II","NRL-Salm"
"Salmonella II 18:m,t:1,5","Salmonella II","NRL-Salm"
"Salmonella II 18:y:e,n,x,z15","Salmonella II","NRL-Salm"
"Salmonella II 18:z10:z6","Salmonella II","NRL-Salm"
"Salmonella II 18:z36:-","Salmonella II","NRL-Salm"
"Salmonella II 18:z4,z23:-","Salmonella II","NRL-Salm"
"Salmonella II 18:z4,z24:-","Salmonella II","NRL-Salm"
"Salmonella II 21:b:1,5","Salmonella II","NRL-Salm"
"Salmonella II 21:c:e,n,x","Salmonella II","NRL-Salm"
"Salmonella II 21:g,m,s,t:-","Salmonella II","NRL-Salm"
"Salmonella II 21:g,t:-","Salmonella II","NRL-Salm"
"Salmonella II 21:m,t:-","Salmonella II","NRL-Salm"
"Salmonella II 21:z:-","Salmonella II","NRL-Salm"
"Salmonella II 21:z10:-","Salmonella II","NRL-Salm"
"Salmonella II 21:z10:z6","Salmonella II","NRL-Salm"
"Salmonella II 21:z4,z24:-","Salmonella II","NRL-Salm"
"Salmonella II 28:a:e,n,x","Salmonella II","NRL-Salm"
"Salmonella II 28:b:e,n,x","Salmonella II","NRL-Salm"
"Salmonella II 28:b:z6","Salmonella II","NRL-Salm"
"Salmonella II 28:e,n,x:1,7","Salmonella II","NRL-Salm"
"Salmonella II 28:g,m,[s],t:1,5","Salmonella II","NRL-Salm"
"Salmonella II 28:g,m,t:e,n,x","Salmonella II","NRL-Salm"
"Salmonella II 28:g,m,t:z39","Salmonella II","NRL-Salm"
"Salmonella II 28:g,s,t:e,n,x","Salmonella II","NRL-Salm"
"Salmonella II 28:l,z28:1,5","Salmonella II","NRL-Salm"
"Salmonella II 28:m,t:[e,n,x]","Salmonella II","NRL-Salm"
"Salmonella II 28:r:e,n,z15","Salmonella II","NRL-Salm"
"Salmonella II 28:z:1,5","Salmonella II","NRL-Salm"
"Salmonella II 28:z:z39","Salmonella II","NRL-Salm"
"Salmonella II 28:z29:1,5","Salmonella II","NRL-Salm"
"Salmonella II 28:z29:e,n,x","Salmonella II","NRL-Salm"
"Salmonella II 3,10:a:e,n,x","Salmonella II","NRL-Salm"
"Salmonella II 3,10:a:l,v","Salmonella II","NRL-Salm"
"Salmonella II 3,10:a:z39","Salmonella II","NRL-Salm"
"Salmonella II 3,10:b:e,n,x","Salmonella II","NRL-Salm"
"Salmonella II 3,10:b:z39","Salmonella II","NRL-Salm"
"Salmonella II 3,10:d:e,n,x","Salmonella II","NRL-Salm"
"Salmonella II 3,10:e,n,x:1,7","Salmonella II","NRL-Salm"
"Salmonella II 3,10:g,m,s,t:-","Salmonella II","NRL-Salm"
"Salmonella II 3,10:g,m,s,t:1,5","Salmonella II","NRL-Salm"
"Salmonella II 3,10:g,t:-","Salmonella II","NRL-Salm"
"Salmonella II 3,10:l,v:e,n,x","Salmonella II","NRL-Salm"
"Salmonella II 3,10:l,v:z6","Salmonella II","NRL-Salm"
"Salmonella II 3,10:l,z28:1,5","Salmonella II","NRL-Salm"
"Salmonella II 3,10:l,z28:e,n,x","Salmonella II","NRL-Salm"
"Salmonella II 3,10:l,z28:z39","Salmonella II","NRL-Salm"
"Salmonella II 3,10:m,t:1,5","Salmonella II","NRL-Salm"
"Salmonella II 3,10:m,t:e,n,x","Salmonella II","NRL-Salm"
"Salmonella II 3,10:z:1,5","Salmonella II","NRL-Salm"
"Salmonella II 3,10:z:e,n,x","Salmonella II","NRL-Salm"
"Salmonella II 3,10:z:z39","Salmonella II","NRL-Salm"
"Salmonella II 3,10:z29:-","Salmonella II","NRL-Salm"
"Salmonella II 3,10:z29:e,n,x","Salmonella II","NRL-Salm"
"Salmonella II 3,10:z38:z42","Salmonella II","NRL-Salm"
"Salmonella II 3,10:z39:1,[5],7","Salmonella II","NRL-Salm"
"Salmonella II 3,10:z4,z24:-","Salmonella II","NRL-Salm"
"Salmonella II 3,15:g,m,s,t:-","Salmonella II","NRL-Salm"
"Salmonella II 30:g,m,t:-","Salmonella II","NRL-Salm"
"Salmonella II 30:a:z39","Salmonella II","NRL-Salm"
"Salmonella II 30:b:z6","Salmonella II","NRL-Salm"
"Salmonella II 30:c:z39","Salmonella II","NRL-Salm"
"Salmonella II 30:g,m,s:e,n,x","Salmonella II","NRL-Salm"
"Salmonella II 30:g,t:-","Salmonella II","NRL-Salm"
"Salmonella II 30:k:e,n,x,z15","Salmonella II","NRL-Salm"
"Salmonella II 30:l,z28:z6","Salmonella II","NRL-Salm"
"Salmonella II 30:m,t:-","Salmonella II","NRL-Salm"
"Salmonella II 30:z39:1,7","Salmonella II","NRL-Salm"
"Salmonella II 30:z6:1,6","Salmonella II","NRL-Salm"
"Salmonella II 35:d:1,5","Salmonella II","NRL-Salm"
"Salmonella II 35:g,m,s,t:-","Salmonella II","NRL-Salm"
"Salmonella II 35:g,t:1,5","Salmonella II","NRL-Salm"
"Salmonella II 35:g,t:z42","Salmonella II","NRL-Salm"
"Salmonella II 35:l,z28:-","Salmonella II","NRL-Salm"
"Salmonella II 35:m,t:-","Salmonella II","NRL-Salm"
"Salmonella II 35:z29:e,n,x","Salmonella II","NRL-Salm"
"Salmonella II 38:b:1,2","Salmonella II","NRL-Salm"
"Salmonella II 38:d:[1,5]","Salmonella II","NRL-Salm"
"Salmonella II 38:g,t:-","Salmonella II","NRL-Salm"
"Salmonella II 39:-:1,7","Salmonella II","NRL-Salm"
"Salmonella II 39:a:z39","Salmonella II","NRL-Salm"
"Salmonella II 39:c:e,n,x","Salmonella II","NRL-Salm"
"Salmonella II 39:e,n,x:1,7","Salmonella II","NRL-Salm"
"Salmonella II 39:g,m,t:-","Salmonella II","NRL-Salm"
"Salmonella II 39:l,v:1,5","Salmonella II","NRL-Salm"
"Salmonella II 39:l,z28:e,n,x","Salmonella II","NRL-Salm"
"Salmonella II 39:l,z28:z39","Salmonella II","NRL-Salm"
"Salmonella II 39:m,t:e,n,x","Salmonella II","NRL-Salm"
"Salmonella II 39:z10:z6","Salmonella II","NRL-Salm"
"Salmonella II 4,12,27:a:-","Salmonella II","NRL-Salm"
"Salmonella II 4,12,27:i:z35","Salmonella II","NRL-Salm"
"Salmonella II 4,12:-:1,5,7","Salmonella II","NRL-Salm"
"Salmonella II 4,12:b:1,5","Salmonella II","NRL-Salm"
"Salmonella II 4,12:d:e,n,x","Salmonella II","NRL-Salm"
"Salmonella II 4,12:e,n,x:1,2,7","Salmonella II","NRL-Salm"
"Salmonella II 4,12:g,m,t:z39","Salmonella II","NRL-Salm"
"Salmonella II 4,12:g,s,t:e,n,x","Salmonella II","NRL-Salm"
"Salmonella II 4,12:g,z62:-","Salmonella II","NRL-Salm"
"Salmonella II 4,12:l,w:e,n,x","Salmonella II","NRL-Salm"
"Salmonella II 4,12:l,z28:-","Salmonella II","NRL-Salm"
"Salmonella II 4,12:z:1,7","Salmonella II","NRL-Salm"
"Salmonella II 4,12:z:z39","Salmonella II","NRL-Salm"
"Salmonella II 4,12:z39:1,5,7","Salmonella II","NRL-Salm"
"Salmonella II 40:a:z39","Salmonella II","NRL-Salm"
"Salmonella II 40:b:-","Salmonella II","NRL-Salm"
"Salmonella II 40:d:-","Salmonella II","NRL-Salm"
"Salmonella II 40:g,m,s,t:e,n,x","Salmonella II","NRL-Salm"
"Salmonella II 40:g,m,s:e,n,x","Salmonella II","NRL-Salm"
"Salmonella II 40:g,t:z39","Salmonella II","NRL-Salm"
"Salmonella II 40:k:z6","Salmonella II","NRL-Salm"
"Salmonella II 40:l,v:e,n,x","Salmonella II","NRL-Salm"
"Salmonella II 40:z:z42","Salmonella II","NRL-Salm"
"Salmonella II 40:z39:1,7","Salmonella II","NRL-Salm"
"Salmonella II 40:z4,z24:z39","Salmonella II","NRL-Salm"
"Salmonella II 41:-:1,6","Salmonella II","NRL-Salm"
"Salmonella II 41:b:1,5","Salmonella II","NRL-Salm"
"Salmonella II 41:c:z6","Salmonella II","NRL-Salm"
"Salmonella II 41:d:z6","Salmonella II","NRL-Salm"
"Salmonella II 41:g,m,s,t:z6","Salmonella II","NRL-Salm"
"Salmonella II 41:g,t:-","Salmonella II","NRL-Salm"
"Salmonella II 41:k:1,6","Salmonella II","NRL-Salm"
"Salmonella II 41:k:z6","Salmonella II","NRL-Salm"
"Salmonella II 41:l,z13,z28:e,n,x,z15","Salmonella II","NRL-Salm"
"Salmonella II 41:z:1,5","Salmonella II","NRL-Salm"
"Salmonella II 41:z10:1,2","Salmonella II","NRL-Salm"
"Salmonella II 41:z10:e,n,x,z15","Salmonella II","NRL-Salm"
"Salmonella II 41:z10:z6","Salmonella II","NRL-Salm"
"Salmonella II 42:f,g,t:-","Salmonella II","NRL-Salm"
"Salmonella II 42:-:1,6","Salmonella II","NRL-Salm"
"Salmonella II 42:b:1,5","Salmonella II","NRL-Salm"
"Salmonella II 42:b:e,n,x,z15","Salmonella II","NRL-Salm"
"Salmonella II 42:b:z6","Salmonella II","NRL-Salm"
"Salmonella II 42:d:z6","Salmonella II","NRL-Salm"
"Salmonella II 42:e,n,x:1,6","Salmonella II","NRL-Salm"
"Salmonella II 42:l,[z13],z28:z6","Salmonella II","NRL-Salm"
"Salmonella II 42:l,v:e,n,x,z15","Salmonella II","NRL-Salm"
"Salmonella II 42:m,t:[e,n,x,z15]","Salmonella II","NRL-Salm"
"Salmonella II 42:r:-","Salmonella II","NRL-Salm"
"Salmonella II 42:z:1,5","Salmonella II","NRL-Salm"
"Salmonella II 42:z:e,n,x,z15","Salmonella II","NRL-Salm"
"Salmonella II 42:z:z6","Salmonella II","NRL-Salm"
"Salmonella II 42:z10:1,2","Salmonella II","NRL-Salm"
"Salmonella II 42:z10:e,n,x,z15","Salmonella II","NRL-Salm"
"Salmonella II 42:z10:z6","Salmonella II","NRL-Salm"
"Salmonella II 42:z6:1,6","Salmonella II","NRL-Salm"
"Salmonella II 43:a:1,5","Salmonella II","NRL-Salm"
"Salmonella II 43:a:z6","Salmonella II","NRL-Salm"
"Salmonella II 43:b:z42","Salmonella II","NRL-Salm"
"Salmonella II 43:d:e,n,x,z15","Salmonella II","NRL-Salm"
"Salmonella II 43:d:z39","Salmonella II","NRL-Salm"
"Salmonella II 43:d:z42","Salmonella II","NRL-Salm"
"Salmonella II 43:e,n,x,z15:1,5,7","Salmonella II","NRL-Salm"
"Salmonella II 43:e,n,x,z15:1,6","Salmonella II","NRL-Salm"
"Salmonella II 43:g,m,[s],t:[z42]","Salmonella II","NRL-Salm"
"Salmonella II 43:g,t:-","Salmonella II","NRL-Salm"
"Salmonella II 43:g,t:1,5","Salmonella II","NRL-Salm"
"Salmonella II 43:g,z62:e,n,x","Salmonella II","NRL-Salm"
"Salmonella II 43:l,z13,z28:1,5","Salmonella II","NRL-Salm"
"Salmonella II 43:z:1,5","Salmonella II","NRL-Salm"
"Salmonella II 43:z29:e,n,x","Salmonella II","NRL-Salm"
"Salmonella II 43:z29:z42","Salmonella II","NRL-Salm"
"Salmonella II 43:z4,z23:-","Salmonella II","NRL-Salm"
"Salmonella II 43:z42:1,5,7","Salmonella II","NRL-Salm"
"Salmonella II 44:g,t:z42","Salmonella II","NRL-Salm"
"Salmonella II 44:z29:e,n,x:z42","Salmonella II","NRL-Salm"
"Salmonella II 44:z4,z23:-","Salmonella II","NRL-Salm"
"Salmonella II 45:a:z10","Salmonella II","NRL-Salm"
"Salmonella II 45:g,m,s,t:1,5","Salmonella II","NRL-Salm"
"Salmonella II 45:g,m,s,t:e,n,x","Salmonella II","NRL-Salm"
"Salmonella II 45:g,m,t:e,n,x,z15","Salmonella II","NRL-Salm"
"Salmonella II 45:m,t:1,5","Salmonella II","NRL-Salm"
"Salmonella II 45:z:1,5","Salmonella II","NRL-Salm"
"Salmonella II 45:z:z39","Salmonella II","NRL-Salm"
"Salmonella II 45:z29:1,5","Salmonella II","NRL-Salm"
"Salmonella II 45:z29:e,n,x","Salmonella II","NRL-Salm"
"Salmonella II 45:z29:z42","Salmonella II","NRL-Salm"
"Salmonella II 47:a:1,5","Salmonella II","NRL-Salm"
"Salmonella II 47:a:e,n,x,z15","Salmonella II","NRL-Salm"
"Salmonella II 47:b:1,5","Salmonella II","NRL-Salm"
"Salmonella II 47:b:e,n,x,z15","Salmonella II","NRL-Salm"
"Salmonella II 47:b:z6","Salmonella II","NRL-Salm"
"Salmonella II 47:d:e,n,x,z15","Salmonella II","NRL-Salm"
"Salmonella II 47:d:z39","Salmonella II","NRL-Salm"
"Salmonella II 47:e,n,x,z15:1,6","Salmonella II","NRL-Salm"
"Salmonella II 47:g,t:e,n,x","Salmonella II","NRL-Salm"
"Salmonella II 47:z:e,n,x,z15","Salmonella II","NRL-Salm"
"Salmonella II 47:z:z6","Salmonella II","NRL-Salm"
"Salmonella II 47:z29:e,n,x,z15","Salmonella II","NRL-Salm"
"Salmonella II 47:z6:1,6","Salmonella II","NRL-Salm"
"Salmonella II 48:-:z39","Salmonella II","NRL-Salm"
"Salmonella II 48:a:z35","Salmonella II","NRL-Salm"
"Salmonella II 48:a:z39","Salmonella II","NRL-Salm"
"Salmonella II 48:a:z6","Salmonella II","NRL-Salm"
"Salmonella II 48:b:z6","Salmonella II","NRL-Salm"
"Salmonella II 48:d:1,2","Salmonella II","NRL-Salm"
"Salmonella II 48:d:z6","Salmonella II","NRL-Salm"
"Salmonella II 48:e,n,x,z15:z6","Salmonella II","NRL-Salm"
"Salmonella II 48:g,m,t:-","Salmonella II","NRL-Salm"
"Salmonella II 48:k:e,n,x,z15","Salmonella II","NRL-Salm"
"Salmonella II 48:k:z39","Salmonella II","NRL-Salm"
"Salmonella II 48:z:1,5","Salmonella II","NRL-Salm"
"Salmonella II 48:z10:[1,5]","Salmonella II","NRL-Salm"
"Salmonella II 48:z29:-","Salmonella II","NRL-Salm"
"Salmonella II 50:b:z6","Salmonella II","NRL-Salm"
"Salmonella II 50:e,n,x:1,7","Salmonella II","NRL-Salm"
"Salmonella II 50:g,m,s,t:1,5","Salmonella II","NRL-Salm"
"Salmonella II 50:g,s,t:-","Salmonella II","NRL-Salm"
"Salmonella II 50:k:e,n,x:z42","Salmonella II","NRL-Salm"
"Salmonella II 50:k:z6","Salmonella II","NRL-Salm"
"Salmonella II 50:l,w:e,n,x,z15:z42","Salmonella II","NRL-Salm"
"Salmonella II 50:l,z28:z42","Salmonella II","NRL-Salm"
"Salmonella II 50:m,t:z6:z42","Salmonella II","NRL-Salm"
"Salmonella II 50:z:e,n,x","Salmonella II","NRL-Salm"
"Salmonella II 50:z10:z6:z42","Salmonella II","NRL-Salm"
"Salmonella II 50:z42:1,7","Salmonella II","NRL-Salm"
"Salmonella II 51:-:1,7","Salmonella II","NRL-Salm"
"Salmonella II 51:c:-","Salmonella II","NRL-Salm"
"Salmonella II 51:g,s,t:e,n,x","Salmonella II","NRL-Salm"
"Salmonella II 51:l,z28:z39","Salmonella II","NRL-Salm"
"Salmonella II 51:l,z28:z6","Salmonella II","NRL-Salm"
"Salmonella II 51:z29:e,n,x,z15","Salmonella II","NRL-Salm"
"Salmonella II 52:c:k","Salmonella II","NRL-Salm"
"Salmonella II 52:d:e,n,x,z15","Salmonella II","NRL-Salm"
"Salmonella II 52:d:z39","Salmonella II","NRL-Salm"
"Salmonella II 52:g,t:-","Salmonella II","NRL-Salm"
"Salmonella II 52:z:z39","Salmonella II","NRL-Salm"
"Salmonella II 52:z39:1,5,7","Salmonella II","NRL-Salm"
"Salmonella II 52:z44:1,5,7","Salmonella II","NRL-Salm"
"Salmonella II 53:c:1,5","Salmonella II","NRL-Salm"
"Salmonella II 53:d:1,5","Salmonella II","NRL-Salm"
"Salmonella II 53:d:z42","Salmonella II","NRL-Salm"
"Salmonella II 53:l,z28:e,n,x","Salmonella II","NRL-Salm"
"Salmonella II 53:l,z28:z39","Salmonella II","NRL-Salm"
"Salmonella II 53:l,z28:z6","Salmonella II","NRL-Salm"
"Salmonella II 53:z:1,5","Salmonella II","NRL-Salm"
"Salmonella II 53:z:z6","Salmonella II","NRL-Salm"
"Salmonella II 53:z4,z24:-","Salmonella II","NRL-Salm"
"Salmonella II 55:k:z39","Salmonella II","NRL-Salm"
"Salmonella II 56:b:-","Salmonella II","NRL-Salm"
"Salmonella II 56:d:-","Salmonella II","NRL-Salm"
"Salmonella II 56:e,n,x:1,7","Salmonella II","NRL-Salm"
"Salmonella II 56:l,v:z39","Salmonella II","NRL-Salm"
"Salmonella II 56:l,z28:-","Salmonella II","NRL-Salm"
"Salmonella II 56:z:z6","Salmonella II","NRL-Salm"
"Salmonella II 56:z10:e,n,x","Salmonella II","NRL-Salm"
"Salmonella II 57:a:z42","Salmonella II","NRL-Salm"
"Salmonella II 57:d:1,5","Salmonella II","NRL-Salm"
"Salmonella II 57:g,m,s,t:z42","Salmonella II","NRL-Salm"
"Salmonella II 57:g,s,t:z42","Salmonella II","NRL-Salm"
"Salmonella II 57:g,t:-","Salmonella II","NRL-Salm"
"Salmonella II 57:z29:z42","Salmonella II","NRL-Salm"
"Salmonella II 57:z39:e,n,x,z15","Salmonella II","NRL-Salm"
"Salmonella II 57:z42:1,6:z53","Salmonella II","NRL-Salm"
"Salmonella II 58:a:z6","Salmonella II","NRL-Salm"
"Salmonella II 58:b:1,5","Salmonella II","NRL-Salm"
"Salmonella II 58:c:z6","Salmonella II","NRL-Salm"
"Salmonella II 58:d:z6","Salmonella II","NRL-Salm"
"Salmonella II 58:l,z13,z28:1,5","Salmonella II","NRL-Salm"
"Salmonella II 58:l,z13,z28:z6","Salmonella II","NRL-Salm"
